level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
k__Bacteria;p__GAL15,k__Bacteria;p__Acidobacteria;c__,k__Archaea;p__Euryarchaeota;c__DSEG;o__ArcA07,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera
k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__;f__;g__
k__Bacteria;p__GN01,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Archaea;p__Euryarchaeota;c__DSEG;o__HydGC-84-221A,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__A13,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__;g__
k__Bacteria;p__GN02,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__SK322,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__
k__Bacteria;p__GN04,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,k__Archaea;p__Crenarchaeota;c__THSCG;o__;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Aeropyrum
k__Bacteria;p__GOUTA4,k__Bacteria;p__Acidobacteria;c__AT-s2-57,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales,k__Archaea;p__Euryarchaeota;c__ANME-1;o__;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Caldisphaera
k__Bacteria;p__H-178,k__Bacteria;p__Acidobacteria;c__AT-s54,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__,k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus
k__Bacteria;p__Hyd24-12,k__Bacteria;p__Acidobacteria;c__BPC102,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__F99a103,k__Archaea;p__Euryarchaeota;c__DSEG;o__;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignicoccus
k__Bacteria;p__Kazan-3B-28,k__Bacteria;p__Acidobacteria;c__DA052,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales,k__Archaea;p__Euryarchaeota;c__DSEG;o__104A5;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Staphylothermus
k__Bacteria;p__KSB3,k__Bacteria;p__Acidobacteria;c__EC1113,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales,k__Archaea;p__Euryarchaeota;c__DSEG;o__ArcA07;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Sulfophobococcus
k__Bacteria;p__LCP-89,k__Bacteria;p__Acidobacteria;c__GAL08,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales,k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermogladius
k__Bacteria;p__LD1,k__Bacteria;p__Acidobacteria;c__Holophagae,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__NRA6,k__Archaea;p__Euryarchaeota;c__DSEG;o__HydGC-84-221A;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae;g__
k__Bacteria;p__Lentisphaerae,k__Bacteria;p__Acidobacteria;c__iii1-8,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__RCII,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae;g__Hyperthermus
