sample.id,sex,site,Crenarchaeota,Euryarchaeota,Parvarchaeota,Other,AD3,Acidobacteria,Actinobacteria,AncK6,Aquificae,Armatimonadetes,BHI80-139,BRC1,Bacteroidetes,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Deferribacteres,Elusimicrobia,FBP,FCPU426,Fibrobacteres,Firmicutes,Fusobacteria,GAL15,GN02,GN04,Gemmatimonadetes,Lentisphaerae,MVP-21,NC10,NKB19,Nitrospirae,OD1,OP11,OP3,OP9,PAUC34f,Planctomycetes,Proteobacteria,SBR1093,SR1,Spirochaetes,Synergistetes,TM6,TM7,Tenericutes,Verrucomicrobia,WPS-2,WS2,WS3,WWE1,ZB3,Thermi
1419.128311,male,stool,0,0,0,0,0,0,0.00455192,0,0,0,0,0,0.429871977,0,0,0,0.00056899,0,0,0,0,0,0.449786629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099857752,0,0,0,0,0,0,0.00512091,0.010241821,0,0,0,0,0,0
1427.107589,female,stool,0,0,0,0,0,0,0.094538944,0,0,0,0,0,0.508863026,0,0,0,0.000268577,0,0,0,0,0,0.390510295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002327663,0,0,0,0,0,0,0.001163832,0.002327663,0,0,0,0,0,0
1482.107574,male,stool,0,0,0,0,0,0,0.00117724,0,0,0,0,0,0.312622629,0,0,0,0,0,0,0,0,0,0.483714846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198168738,0,0,0,0,0,0,0.004185742,0.000130804,0,0,0,0,0,0
1487.107594,male,stool,0,0,0,0,0,0,0.00360549,0,0,0,0,0,0.540823447,0,0,0,0.00209351,0,0,0,0,0,0.440393115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012270295,0,0,0,0,0,0,0.000697837,0.000116306,0,0,0,0,0,0
1492.107646,male,stool,0,0,0,0,0,0,0.102511628,0,0,0,0,0,0.343348837,0,0,0,0.001627907,0,0,0,0,0,0.49055814,0,0,0,0,0,0.000232558,0,0,0,0,0,0,0,0,0,0,0.049116279,0,0,0,0.000232558,0,0,0.012232558,0.000139535,0,0,0,0,0,0
1497.126168,,stool,0,0,0,0,0,0,0.003183635,0,0,0,0,0,0.445742735,0,0,0,0,0,0,0,0,0,0.537560117,0.000237079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010126668,0,0,0,3.39E-05,0,0,0.001693423,0.001422475,0,0,0,0,0,0
1512.125736,,stool,0,5.97E-05,0,0,0,0,0.00083617,0,0,0,0,0,0.547631846,0,0,0,5.97E-05,0,0,0,0,0,0.446634414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453921,0,0,0,0,0,0,0,0.000238906,0,0,0,0,0,0
1528.107596,female,stool,0,0.00072599,0,0,0,0,0.001348268,0,0,0,0,0,0.311138768,0,0,0,0.000207426,0,0,0,0,0,0.656813939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01773491,0,0,0,0,0,0,0.00248911,0.009541589,0,0,0,0,0,0
1530.107588,female,stool,0,0,0,0,0,0,0.005225343,0,0,0,0,0,0.311561071,0,0,0,0,0,0,0,0,0,0.518941868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013716525,0,0,0,0,0,0,0.000326584,0.150228609,0,0,0,0,0,0
1531.107582,female,stool,0,0,0,0,0,0,0.001193419,0,0,0,0,0,0.639587418,0,0,0,0.001790129,0,0,0,0,0,0.326911602,8.52E-05,0,0,0,0,0.000511465,0,0,0,0,0,0,0,0,0,0,0.022674964,0,0,0,0,0,0,0.005370386,0.001875373,0,0,0,0,0,0
1546.113193,female,stool,0,0,0,0,3.91E-05,0.000195549,0.10856897,0,0,0,0,0,0.37322539,0,0,0,0,0,0,0,0,0,0.506746451,0.001447065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009699245,0,0,0,0,0,0,0,7.82E-05,0,0,0,0,0,0
1552.107601,male,stool,0,0,0,0,0,0,0.003348113,0,0,0,0,0,0.59125871,0,0,0,0,0,0,0,0,0,0.396615691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008777486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574.107585,female,stool,0,0,0,0,0,0,0.00086078,0,0,0,0,0,0.449825579,0,0,0,0.001585648,0,0,0,0,0,0.47175282,0,0,0,0,0,0.001087301,0,0,0,0,0,0,0,0,0,0,0.058986092,0,0,0,0,0,0,0.012911702,0.002990078,0,0,0,0,0,0
1595.1076,male,stool,0,0,0,0,0,0,0.003652037,0,0,0,0,0,0.349641377,0,0,0,0.001546358,0,0,0,0,0,0.620155294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005988024,0,0,0,0,0,0,0.017536356,0.001480555,0,0,0,0,0,0
1600.113027,female,stool,0,0,0,0,0,0,0.005485516,0,0,0,0,0,0.34250794,0,0,0,9.62E-05,0,0,0,0,0,0.641709171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000577423,0,0,0,0,0,0,0.009623713,0,0,0,0,0,0,0
1613.121314,male,stool,0,0,0,0,0,0,0.022111897,0,0,0,0,0,0.319178902,0,0,0,0.008485617,0,0,0,0,0,0.608851801,0.00010563,0,0,0,0,0.00038731,0,0,0,0,0,0,0,0,0,0,0.008591247,0,0,0,0,0,0,0.015421992,0.016865603,0,0,0,0,0,0
1661.107577,female,stool,0,0,0,0,0,0,0.00781595,0,0,0,0,0,0.195001325,0,0,0,0.000441579,0,0,0,0,0,0.792722777,0.000176632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192264,0,0,0,0,0,0,0.002163738,0.000485737,0,0,0,0,0,0
1669.107577,male,stool,0,0,0,0,0,0,0.042794142,0,0,0,0,0,0.23896118,0,0,0,5.44E-05,0,0,0,0,0,0.524527686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193553656,0,0,0,0.000108891,0,0,0,0,0,0,0,0,0,0
1687.125732,,stool,0,0,0,0,0,0,5.97E-05,0,0,0,0,0,0.73685467,0,0,0,5.97E-05,0,0,0,0,0,0.256460758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006565204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701.121058,male,stool,0,0,0,0,0,0,0.008876834,0,0,0,0,0,0.39304648,0,0,0,0.001726051,0,0,0,0,0,0.549993836,0,0,0,0,0,0.000863026,0,0,0,0,0,0,0,0,0,0,0.035877204,0,0,0,0.000123289,0,0,0.002712366,0.006780915,0,0,0,0,0,0
1704.107573,male,stool,0,0,0,0,0,0,0.003659348,0,0,0,0,0,0.835218452,0,0,0,0,0,0,0,0,0,0.153027279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008094921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705.107605,,stool,0,0.001163438,0,0,0,0,0.046942182,0,0,0,0,0,0.281096666,0,0,0,0,0,0,0,0,0,0.309322677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008902828,0,0,0,0,0,0,0.092265668,0.260306541,0,0,0,0,0,0
