rsid,sid,ref,site,site.yw,panel,plot1,plot2
159753524,700032238,FALSE,skin,skin,both,1,1
159915365,700032332,FALSE,skin,skin,both,1,1
160036745,700032461,FALSE,skin,skin,both,1,1
159247771,700033027,FALSE,skin,skin,both,1,1
159733294,700033146,FALSE,skin,skin,both,1,1
159611913,700033575,FALSE,skin,skin,both,1,1
160340197,700034040,FALSE,skin,skin,both,1,1
160481808,700034097,FALSE,skin,skin,both,1,1
160319967,700034182,FALSE,skin,skin,both,1,1
160239046,700035312,FALSE,skin,skin,both,1,1
160137896,700035651,FALSE,skin,skin,both,1,1
160380657,700035744,FALSE,skin,skin,both,1,1
764710340,700037006,FALSE,skin,skin,both,1,1
765094712,700037029,FALSE,skin,skin,both,1,1
765135172,700037249,FALSE,skin,skin,both,1,1
765216093,700037354,FALSE,skin,skin,both,1,1
765276783,700037402,FALSE,skin,skin,both,1,1
765519544,700037903,FALSE,skin,skin,both,1,1
370027359,700038953,FALSE,skin,skin,both,1,1
160845950,700095847,FALSE,skin,skin,both,1,1
160886410,700096282,FALSE,skin,skin,both,1,1
160765029,700096377,FALSE,skin,skin,both,1,1
161068481,700096434,FALSE,skin,skin,both,1,1
161028021,700097016,FALSE,skin,skin,both,1,1
161331472,700097373,FALSE,skin,skin,both,1,1
161270782,700097586,FALSE,skin,skin,both,1,1
161554003,700097770,FALSE,skin,skin,both,1,1
970836795,700097988,FALSE,skin,skin,both,1,1
809635352,700098445,FALSE,skin,skin,both,1,1
432193348,700098615,FALSE,skin,skin,both,1,1
370425937,700098685,FALSE,skin,skin,both,1,1
206906765,700099458,FALSE,skin,skin,both,1,1
246515023,700099528,FALSE,skin,skin,both,1,1
892969023,700099972,FALSE,skin,skin,both,1,1
368533040,700102059,FALSE,skin,skin,both,1,1
414519462,700102129,FALSE,skin,skin,both,1,1
604812005,700102315,FALSE,skin,skin,both,1,1
937415040,700102535,FALSE,skin,skin,both,1,1
132902142,700103482,FALSE,skin,skin,both,1,1
178713055,700105033,FALSE,skin,skin,both,1,1
256789458,700105090,FALSE,skin,skin,both,1,1
612472597,700105147,FALSE,skin,skin,both,1,1
953045535,700105616,FALSE,skin,skin,both,1,1
823052294,700106173,FALSE,skin,skin,both,1,1
275382046,700106982,FALSE,skin,skin,both,1,1
866653606,700111238,FALSE,skin,skin,both,1,1
763721271,700111312,FALSE,skin,skin,both,1,1
875002022,700114552,FALSE,skin,skin,both,1,1
